commonly used functions in EOSIO:
COUNT    | LINE
       61 | eosio::require_auth_or_throw: Similar to eosio::require_auth(), but throws an exception if the current action has not been authorized.
       62 | eosio::require_auth: Ensures that the current action has been authorized by a specified account and permission.
       63 | eosio::require_auth: Ensures that the current action has been authorized by the account that is calling the contract.
       64 | eosio::require_no_throw: Ensures that a specified function does not throw any exceptions.
       65 | eosio::ripemd160: Calculates the RIPEMD-160 hash of a given input.
       66 | eosio::sha1: Calculates the SHA-1 hash of a given input.
       67 | eosio::sha256: Calculates the SHA-256 hash of a given input.
       68 | eosio::singleton: A template class that simplifies the creation and management of single-row tables.
       69 | eosio::symbol: Represents a token symbol, including the symbol's name, precision, and symbol code.
       70 | eosio::time_point_sec: Represents a point in time as the number of seconds since the Unix epoch.
       71 | eosio::transaction: Allows you to execute multiple actions within a single transaction.
       72 | eosio::unpack_action_data: Deserializes the data passed to an action.
       73 | eosio::unpack: Deserializes data that was serialized using the eosio::pack() function.
       74 | get_self(): Returns the name of the current contract.
       75 | require_auth(): Ensures that the current action has been authorized by the account that is calling the contract.
       76 | send_inline(): Executes another action within the same transaction.
       77 | eosio::asset() is an EOSIO type that represents an amount of an asset, such as a currency or token. An eosio::asset object contains two members: a uint64_t representing the amount of the asset, and an eosio::symbol object representing the symbol of the asset.
-----------------------------------------------------
